Distance,Speed,Throttle,Brake,DRS,RPM,nGear,Distance.1,Source,Time,SessionTime
10.7825,227,100,0,1,11951,5,10.7825,car,0 days 00:00:00.171000,0 days 01:05:24.159000
26.31583333,233,100,0,1,11018,6,26.31583333,car,0 days 00:00:00.411000,0 days 01:05:24.399000
42.1825,238,100,0,1,10859,6,42.1825,car,0 days 00:00:00.651000,0 days 01:05:24.639000
58.44916667,244,100,0,1,11248,6,58.44916667,car,0 days 00:00:00.891000,0 days 01:05:24.879000
74.91361111,248,100,0,1,11361,6,74.91361111,car,0 days 00:00:01.130000,0 days 01:05:25.118000
94.51361111,252,100,0,1,11621,6,94.51361111,car,0 days 00:00:01.410000,0 days 01:05:25.398000
111.6469444,257,100,0,1,11028,6,111.6469444,car,0 days 00:00:01.650000,0 days 01:05:25.638000
129.0525,260,100,0,1,10690,7,129.0525,car,0 days 00:00:01.891000,0 days 01:05:25.879000
146.6525,264,100,0,1,10695,7,146.6525,car,0 days 00:00:02.131000,0 days 01:05:26.119000
164.3858333,266,100,0,1,10792,7,164.3858333,car,0 days 00:00:02.371000,0 days 01:05:26.359000
182.3191667,269,100,0,1,10869,7,182.3191667,car,0 days 00:00:02.611000,0 days 01:05:26.599000
200.3191667,270,100,0,1,11004,7,200.3191667,car,0 days 00:00:02.851000,0 days 01:05:26.839000
218.4525,272,100,0,1,11086,7,218.4525,car,0 days 00:00:03.091000,0 days 01:05:27.079000
236.6525,273,100,0,1,11046,7,236.6525,car,0 days 00:00:03.331000,0 days 01:05:27.319000
254.9858333,275,100,0,1,11095,7,254.9858333,car,0 days 00:00:03.571000,0 days 01:05:27.559000
273.3191667,275,94,0,1,11079,7,273.3191667,car,0 days 00:00:03.811000,0 days 01:05:27.799000
291.4525,272,0,1,1,10579,7,291.4525,car,0 days 00:00:04.051000,0 days 01:05:28.039000
307.5858333,242,0,1,1,10118,7,307.5858333,car,0 days 00:00:04.291000,0 days 01:05:28.279000
322.4525,223,0,1,1,9221,7,322.4525,car,0 days 00:00:04.531000,0 days 01:05:28.519000
337.9302778,199,0,1,1,9926,7,337.9302778,car,0 days 00:00:04.811000,0 days 01:05:28.799000
350.1969444,184,0,1,1,9359,5,350.1969444,car,0 days 00:00:05.051000,0 days 01:05:29.039000
361.7969444,174,0,1,1,10179,4,361.7969444,car,0 days 00:00:05.291000,0 days 01:05:29.279000
372.5969444,162,0,1,1,9644,4,372.5969444,car,0 days 00:00:05.531000,0 days 01:05:29.519000
384.6525,155,0,0,1,9528,4,384.6525,car,0 days 00:00:05.811000,0 days 01:05:29.799000
394.7191667,151,12,0,1,8981,4,394.7191667,car,0 days 00:00:06.051000,0 days 01:05:30.039000
404.3858333,145,38,0,1,9046,4,404.3858333,car,0 days 00:00:06.291000,0 days 01:05:30.279000
414.1191667,146,53,0,1,9226,4,414.1191667,car,0 days 00:00:06.531000,0 days 01:05:30.519000
423.8525,146,77,0,1,9579,4,423.8525,car,0 days 00:00:06.771000,0 days 01:05:30.759000
433.8525,150,100,0,1,10414,4,433.8525,car,0 days 00:00:07.011000,0 days 01:05:30.999000
444.5858333,161,100,0,1,10825,4,444.5858333,car,0 days 00:00:07.251000,0 days 01:05:31.239000
456.3858333,177,100,0,1,11345,4,456.3858333,car,0 days 00:00:07.491000,0 days 01:05:31.479000
468.7341667,186,100,0,1,11722,4,468.7341667,car,0 days 00:00:07.730000,0 days 01:05:31.718000
481.5341667,192,100,0,1,11749,4,481.5341667,car,0 days 00:00:07.970000,0 days 01:05:31.958000
494.8675,200,100,0,1,10627,5,494.8675,car,0 days 00:00:08.210000,0 days 01:05:32.198000
508.2563889,200,100,0,1,10767,5,508.2563889,car,0 days 00:00:08.451000,0 days 01:05:32.439000
522.1897222,209,100,0,1,11082,5,522.1897222,car,0 days 00:00:08.691000,0 days 01:05:32.679000
536.8563889,220,100,0,1,11471,5,536.8563889,car,0 days 00:00:08.931000,0 days 01:05:32.919000
551.8563889,225,100,0,1,11831,5,551.8563889,car,0 days 00:00:09.171000,0 days 01:05:33.159000
567.1230556,229,100,0,1,10754,5,567.1230556,car,0 days 00:00:09.411000,0 days 01:05:33.399000
582.3897222,229,100,0,1,10731,6,582.3897222,car,0 days 00:00:09.651000,0 days 01:05:33.639000
598.1230556,236,100,0,1,10843,6,598.1230556,car,0 days 00:00:09.891000,0 days 01:05:33.879000
613.9897222,238,100,0,1,11116,6,613.9897222,car,0 days 00:00:10.131000,0 days 01:05:34.119000
630.0563889,241,71,0,1,10977,6,630.0563889,car,0 days 00:00:10.371000,0 days 01:05:34.359000
646.1897222,242,83,0,1,11166,6,646.1897222,car,0 days 00:00:10.611000,0 days 01:05:34.599000
662.2563889,241,100,0,1,11340,6,662.2563889,car,0 days 00:00:10.851000,0 days 01:05:34.839000
